S.No.,Name,Medical Qualification,Specilist in,Address,Years of experience,Rating,Image
1,Dr Naresh Trehan,MBBS and MS,Cardiothoracic surgery,"Medanta the medicity, Gurgaon",42,5,Images/Dr_Naresh_Trehan.png
2,Dr Yugal Mishra,"MBBS ,MS and PHD",Cardiovascular surgery,"Dwarka,New Delhi",32,3.5,Images/Dr_Yugal_Mishra
3,Dr Ashok Seth,"MBBS,MD and D Litt",Interventional Cardiology,"Okhla Road, New Delhi",42,5,Images/Dr_Ashok_Seth.png
4,Dr Anil Laul,MBBS and MD,General Medicine,"Dwarka, New Delhi",30,4.5,Images/Dr_Anil_Laul.png
5,Dr Sushila Kataria,"MBBS,MD and PG diploma",Internal medicine,"Medanta, Gurgaon",19,4,Images/Dr_Sushila_Kataria.png
6,Dr Amrita Gogia,BDS and MDS,Dental Sciences,"South ex, New Delhi",27,5,Images/Dr_Amrita_Gogia.png
7,Dr Anusuya Sharma,BDS and MDS,Oral surgery,"Greater Noida, Uttar Pradesh",33,4,Images/Dr_Anusuya_Sharma.png
8,Dr Prasad Rao Voleti,MBBS and MD,General medicine,"Medanta Hospital, Gurgaon",43,4,Images/Dr_Prasad_Rao_Voleti.png
9,Dr Joy Dev Mukherji,"MBBS,MD,DM and FRCP",Neurosurgeon,"Max Hospital, Noida ,Uttar Pradesh",23,5,Images/Dr_Joy_Dev_Mukherji.png
10,Dr Jotinder Khanna,MBBS and MS,General surgery(laproscopy),"464 Gate No 2 Mandkani Enclave Alaknanda, Landmark: Near Don Bosco School, Delhi",15,5 stars,Images/Dr_Jotinder_Khanna.png
