S.No.,Name,Price,Number of capsules in one pack,Brand,Uses,Side Effects,Images
1,Parasal-650,20,50,Parasal,"Headache, muscle aches, arthritis, backache, toothaches, colds, fevers and mild arthritis","Hives, difficulty breathing,swelling of your face, lips, tongue, or throat",Images/parasal-650.png
2,Hydrochlorothiazide,12,10,Aquazide,"Edema (fluid retention; excess fluid held in body tissues),rid of unneeded water and salt from the body into the urine","Upset stomach, dizziness, or headache may occur as your body adjusts to the medication",Images/Hydrochlorothiazide.png
3,Digene,16,15,Abbot,"Indigestion, extra gas, bloating, belching and feeling of discomfort in the stomach or gut","The most common side effects observed with this medicine include nausea, headache, dizziness, flatulence, diarrhea, and stomach pain, vomiting",Images/Digene.png
4,Multivitamin,90,15,Zincovit,Vitamin and mineral deficiency and acts as an immunity booster in adults.," Nausea, vomiting, diarrhoea, and upset stomach may be seen as side effects",Images/zincovit.png
5,Calcium,8000,180,bluebonnet,"Bone loss (osteoporosis),  weak bones (osteomalacia/rickets), decreased activity of the parathyroid gland (hypoparathyroidism),   certain muscle disease (latent tetany)","Calcium supplements may increase the incidence of constipation, severe diarrhea, abdominal pain",Images/Calcium_Citrate_Magnesium_Vitamin D3.png
6,Cetrizine,25,10,Jocund,"Watery eyes, runny nose, itching eyes/nose, sneezing, hives, and itching,  blockes a certain natural substance (histamine)","Some drowsiness, excessive tirednessdry mouth, stomach pain, diarrhea, vomiting",Images/Cetrizine.png
7,Dextromethorphan,30,10,West Coast,"Relieve cough caused by the common cold, the flu, or other conditions.","Slight drowsiness/dizziness, nausea, or vomiting may occur.",Images/Dextromethorphan.png
8,Curcuminoid,188,10,Nu eyes,"Vitamin deficiency, improves vision","Constipation, diarrhea, or upset stomach may occur. ",Images/Curcuminoid.png
9,Modalert,205,10,Sun,"Extreme sleepiness due to narcolepsy and other sleep disorders, headache, nausea, nervousness, dizziness, or difficulty sleeping","Headache, nausea, nervousness, dizziness, or difficulty sleeping may occur. ",Images/Modalert.png
10,Biotin,500,90,HealthKart,"Thicken hair, increase fullness, and add shine."," Side effects can include skin rashes, digestive upset, problems with insulin release, kidney problems",Images/Biotin.png
